temperature,glucose,viable_cell_density_count
33,0.5,887025.3895911799
33,0.6,959552.6889010028
33,0.7,1025481.1400590364
33,0.7999999999999999,1086241.4001786225
33,0.8999999999999999,1142817.1365022655
33,0.9999999999999999,1195918.2476796382
33,1.0999999999999999,1246076.478076934
33,1.1999999999999997,1293702.056032087
33,1.2999999999999998,1339119.1493160971
33,1.4,1382589.0695340196
33,1.4999999999999998,1424326.0251496783
33,1.5999999999999996,1464508.1494875983
33,1.6999999999999997,1503285.4254546643
33,1.7999999999999998,1540785.5100223855
33,1.8999999999999997,1577118.0999414646
33,1.9999999999999996,1612378.2610014232
33,2.0999999999999996,1646649.0060216102
33,2.1999999999999997,1680003.31853342
33,2.3,1712505.7609289163
33,2.3999999999999995,1744213.7666234202
33,2.4999999999999996,1775178.6888038677
33,2.5999999999999996,1805446.6594495766
33,2.6999999999999993,1835059.298874656
33,2.7999999999999994,1864054.30633751
33,2.8999999999999995,1892465.955159735
33,2.9999999999999996,1920325.5105319764
33,3.0999999999999996,1947661.5842370728
33,3.1999999999999993,1974500.4375297236
33,3.2999999999999994,2000866.2411228432
33,3.3999999999999995,2026781.2994627703
33,3.499999999999999,2052266.2450982416
33,3.599999999999999,2077340.2078664368
33,3.6999999999999993,2102020.9627636736
33,3.7999999999999994,2126325.059686422
33,3.8999999999999995,2150267.9376813425
33,3.999999999999999,2173864.02590154
33,4.1,2197126.8331077173
33,4.199999999999999,2220069.0272601903
33,4.299999999999999,2242702.5065074363
33,4.3999999999999995,2265038.462678569
33,4.499999999999999,2287087.4382228106
33,4.599999999999999,2308859.377402154
33,4.699999999999999,2330363.6724289367
33,4.799999999999999,2351609.2051439104
33,4.899999999999999,2372604.384749337
33,4.999999999999999,2393357.182043021
37,0.5,1429814.0552589067
37,0.6,1495441.8379279722
37,0.7,1553273.9443581472
37,0.7999999999999999,1605175.0826856382
37,0.8999999999999999,1652392.7492253704
37,0.9999999999999999,1695806.1213045053
37,1.0999999999999999,1736060.0658518497
37,1.1999999999999997,1773642.812843875
37,1.2999999999999998,1808933.646587992
37,1.4,1842233.578007717
37,1.4999999999999998,1873785.838985286
37,1.5999999999999996,1903790.021487001
37,1.6999999999999997,1932412.1015515523
37,1.7999999999999998,1959791.7146143592
37,1.8999999999999997,1986047.5449358462
37,1.9999999999999996,2011281.3903854762
37,2.0999999999999996,2035581.2773683283
37,2.1999999999999997,2059023.8820185428
37,2.3,2081676.436331413
37,2.3999999999999995,2103598.2461955505
37,2.4999999999999996,2124841.9130547247
37,2.5999999999999996,2145454.326480323
37,2.6999999999999993,2165477.477684892
37,2.7999999999999994,2184949.1316494923
37,2.8999999999999995,2203903.386561053
37,2.9999999999999996,2222371.1426515244
37,3.0999999999999996,2240380.497614011
37,3.1999999999999993,2257957.082070712
37,3.2999999999999994,2275124.345754185
37,3.3999999999999995,2291903.8029043823
37,3.499999999999999,2308315.243712152
37,3.599999999999999,2324376.917334951
37,3.6999999999999993,2340105.6909838864
37,3.7999999999999994,2355517.1887676916
37,3.8999999999999995,2370625.913330263
37,3.999999999999999,2385445.3527972344
37,4.1,2399988.0751260696
37,4.199999999999999,2414265.811612116
37,4.299999999999999,2428289.5310236122
37,4.3999999999999995,2442069.505609205
37,4.499999999999999,2455615.3700321657
37,4.599999999999999,2468936.1741285543
37,4.699999999999999,2482040.4302558233
37,4.799999999999999,2494936.1558890822
37,4.899999999999999,2507630.9120304245
37,4.999999999999999,2520131.837919371
